aluno,nota1,nota2,nota3
Hizmgwguff,5.5,9.8,1.7
Kbjhjcmweypsmxvqjrcpkbkbnpnbckymzedxaoak,7.9,3.7,0.4
Uhgsoqmrwvulksldndcpzadciyciknlylxlp,4.9,0.8,3.8
Fhijkpytzeoijpyb,7.8,9.8,4.3
Fwcwrmaboajsamenpeljvcgigjhyajspiqxeuatmxinfbcpkqtk,5.5,3.0,5.1
Sbytcxvkaujfozuuknmt,1.1,3.4,5.2
Ouqmshjqxioxmguafvpqbil,0.5,4.9,0.7
Lnzjhrxrujscpmplcopcdqsvasnxmxdnqofwdcob,7.2,6.4,5.3
Imfbsispkplqvhmqmqhzyea,8.6,5.6,3.3
Qblofsifjtcxivoboyapuqbwqpbrsxprzxmuoexfpun,8.5,2.0,6.2
Lzxhcpmszghwirtumsqsaejgeadnxbcwuzmka,3.1,6.3,3.8
Pthaoguobqenpwhlhby,7.5,3.6,8.9
Furtpuqzjjbiheweyzaznbdfhyvxjdlqeinphmuacnurvpqeqze,2.5,1.2,8.4
Kdorrlgfvscsofxnlbnmufwhtfahsflqfroujcev,6.9,0.7,6.0
Zntajprxxrckluentoqpfkvxwektdcqfkbo,9.0,2.9,0.2
Mpnquxsiogtirvoydbotqlcpmkuba,2.6,1.8,1.3
Uiolmecnzkzdgeboqoyatpfgyug,3.0,6.1,2.0
Fppqoraauevhnmvkwmngnecvuyzjizaqbnbqqh,5.1,8.3,6.8
Cfgbqajryvdbcpiatugdznnzwmgq,1.0,0.1,7.1
Vehsepmbdbifowczycjntcdueocxzluzhyqxjfbieefili,1.6,0.7,4.7
Fzovuszbedqiquxlxhrfidfllzb,9.9,4.7,3.9
Lufpirrergysofgihrqrfeoouescwmvzmisfhphbknnmclu,5.3,4.8,2.1
Eexvtjrwflcaalddjedc,7.2,4.2,6.8
Dpemjwasnbodnzdffsdcrxjnqvzdgzoawaxffrvj,0.8,2.6,1.0
Gcjwtsvdqbxpcbujhfoxc,6.8,4.6,3.9
Tiejzaubaohsczowgmxkoh,4.2,1.1,7.7
Thyeqaeeu,7.4,5.8,1.4
Rdkinsghwjktjtuwdfgbhxqybyoa,9.2,6.2,2.5
Lpzagcckowpnhlerlycdoquyyzfuqvyiqbaitixqw,6.7,3.9,0.3
Unpvprkojlhasddrywofuhwilfydbtulstuclqegdnjqvonp,8.2,3.5,8.7
Fcefqhwghfeakjpy,3.5,6.8,9.7
Alpsocsbgtikihghfajfhayzzrhx,4.2,3.6,8.1
Ohpuqbciof,8.7,2.5,4.2
Pdlxxkadrbprzjeohslppylqjpkum,1.2,7.3,3.9
