bajdfhajdhfkajdhkjf
wlrb,0.80,3.00,4.40
cd,1.90,5.10,9.10
k,3.40,2.50,5.80
dqscdxrj,4.30,7.10,9.70
xsjybldb,9.30,8.70,8.70
cbynecdyggxxpklo,1.50,5.80,7.70
mpapqfwkhopkmcoqhn,7.70,10.00,6.80
whsqmgbbuqcljjivs,2.10,7.80,5.30
tbxixmv,3.00,9.70,1.60
jp,6.70,6.20,7.80
wzqfjmafadrrws,4.00,4.00,0.40
nuvqhffbsaqxwpqca,4.40,0.20,6.30
zvfr,7.00,9.70,7.30
zjkpqpxrj,9.20,8.40,4.70
yxacbhhkicqc,2.10,3.70,5.80
omfgdwdwfcgpxiqvku,8.30,10.00,0.40
gdewh,9.50,2.80,1.00
hor,0.90,4.80,3.90
wcsgsp,8.30,0.80,6.10
boagu,1.00,1.00,9.60
xnzlgdgwp,8.70,3.90,0.50
lnsadeuguumoqcdrubet,7.10,3.50,0.40
oachwdvmxx,9.20,0.50,4.70
lmndqtukwagmlejuukwc,1.30,0.20,4.80
umenmeyatdrmydiajxlo,6.40,7.40,6.30
mzhlvihjouvsuyoypayu,1.40,7.80,7.90
uotehzriicfskpggkbb,6.60,7.10,5.90
zucxamludfykgruowz,7.90,7.10,1.30
bppleqladsfasda,2.60,4.10,6.60
bppjna,2.60,4.10,6.60
bppleqfdasfphapjna,2.60,4.10,6.60
bppleqlwphawewa,2.60,4.10,6.60
nvwdt,7.20,3.70,7.60
